"","X","nÃºm_corre","aÃ.o_ocu","mes_ocu","dÃ.a_ocu","dÃ.a_sem_ocu","hora_ocu","g_hora","g_hora_5","depto_ocu","mupio_ocu","Ã.rea_geo_ocu","zona_ocu","sexo_per","edad_per","mayor_menor","g_edad_80ymÃ.s","g_edad_60ymÃ.s","edad_quinquenales","estado_con","tipo_veh","marca_veh","color_veh","modelo_veh","g_modelo_veh","tipo_eve","deptoName"
"38",219,220,2015,"Enero",23,"Viernes",17,3,2,17,1703,2,99,"Hombre",25,1,4,4,6,1,4,2,"Rojo",9999,6,1,"Petén"
"39",223,224,2015,"Enero",24,"Sabado",5,1,1,1,101,1,5,"Hombre",35,1,6,6,8,9,4,24,"Rojo",9999,6,2,"Guatemala"
"40",224,225,2015,"Enero",24,"Sabado",2,1,1,1,103,2,99,"Hombre",31,1,5,5,7,9,4,99,"Negro",9999,6,2,"Guatemala"
"41",227,228,2015,"Enero",24,"Sabado",0,1,1,1,114,2,99,"Hombre",28,1,4,4,6,9,4,21,"Rojo",9999,6,1,"Guatemala"
"42",241,242,2015,"Enero",25,"Domingo",2,1,1,1,115,1,5,"Hombre",22,1,3,3,5,1,4,2,"Negro",9999,6,2,"Guatemala"
"43",250,251,2015,"Enero",26,"Lunes",15,3,2,1,108,1,7,"Hombre",26,1,4,4,6,9,4,40,"Gris",2009,4,1,"Guatemala"
"44",251,252,2015,"Enero",26,"Lunes",18,4,3,20,2001,2,99,"Mujer",28,1,4,4,6,9,4,42,"Rojo",9999,6,1,"Chiquimula"
"45",266,267,2015,"Enero",27,"Martes",21,4,3,1,108,1,3,"Hombre",25,1,4,4,6,9,4,99,"Negro",2007,4,1,"Guatemala"
"46",268,269,2015,"Enero",27,"Martes",17,3,2,18,1801,2,99,"Mujer",68,1,12,11,14,9,4,40,"Corinto",2008,4,1,"Izabal"
"47",288,289,2015,"Enero",30,"Viernes",17,3,2,10,1010,2,99,"Hombre",38,1,6,6,8,9,4,42,"Negro",9999,6,1,"Suchitepéquez"
"48",290,291,2015,"Enero",31,"Sabado",20,4,3,1,101,1,12,"Hombre",24,1,3,3,5,9,4,99,"Rojo",9999,6,1,"Guatemala"
"49",307,308,2015,"Febrero",1,"Domingo",12,3,2,9,920,2,99,"Hombre",47,1,8,8,10,9,4,99,"Rojo",9999,6,2,"Quetzaltenango"
"50",320,321,2015,"Febrero",2,"Lunes",14,3,2,5,506,2,99,"Hombre",39,1,6,6,8,9,4,21,"Azul",9999,6,4,"Escuintla"
"51",324,325,2015,"Febrero",2,"Lunes",11,2,1,8,801,2,99,"Hombre",53,1,9,9,11,9,4,2,"Anaranjado",9999,6,1,"Totonicapán"
"52",336,337,2015,"Febrero",4,"Miercoles",20,4,3,1,101,1,24,"Hombre",31,1,5,5,7,1,4,21,"Rojo",2008,4,1,"Guatemala"
"53",337,338,2015,"Febrero",4,"Miercoles",5,1,1,3,308,2,99,"Hombre",27,1,4,4,6,1,4,2,"Rojo",9999,6,2,"Sacatepéquez"
"54",343,344,2015,"Febrero",5,"Jueves",8,2,1,21,2101,2,99,"Hombre",22,1,3,3,5,1,4,40,"Azul",2008,4,2,"Jalapa"
"55",349,350,2015,"Febrero",6,"Viernes",16,3,2,1,101,1,1,"Hombre",44,1,7,7,9,9,4,21,"Rojo",9999,6,1,"Guatemala"
"56",356,357,2015,"Febrero",6,"Viernes",7,2,1,19,1906,2,99,"Hombre",25,1,4,4,6,1,4,42,"Rojo",9999,6,1,"Zacapa"
"57",362,363,2015,"Febrero",6,"Viernes",2,1,1,11,1103,2,99,"Hombre",30,1,5,5,7,1,4,99,"Azul",2006,4,2,"Retalhuleu"
"58",366,367,2015,"Febrero",6,"Viernes",10,2,1,17,1705,2,99,"Hombre",26,1,4,4,6,9,4,24,"Negro",9999,6,1,"Petén"
"59",370,371,2015,"Febrero",6,"Viernes",14,3,2,4,413,2,99,"Hombre",23,1,3,3,5,9,4,40,"Rojo",2014,5,1,"Chimaltenango"
"60",377,378,2015,"Febrero",7,"Sabado",12,3,2,21,2101,2,99,"Hombre",26,1,4,4,6,1,4,40,"Negro",9999,6,1,"Jalapa"
"61",380,381,2015,"Febrero",7,"Sabado",9,2,1,5,502,2,99,"Hombre",30,1,5,5,7,1,4,2,"Negro",9999,6,1,"Escuintla"
"62",389,390,2015,"Febrero",7,"Sabado",8,2,1,2,202,2,99,"Hombre",39,1,6,6,8,1,4,42,"Azul",2013,5,1,"El Progreso"
"63",391,392,2015,"Febrero",7,"Sabado",16,3,2,17,1708,2,99,"Hombre",33,1,5,5,7,1,4,19,"Azul",9999,6,1,"Petén"
"64",401,402,2015,"Febrero",8,"Domingo",20,4,3,21,2106,2,99,"Hombre",40,1,7,7,9,1,4,40,"Rojo",2010,5,1,"Jalapa"
"65",406,407,2015,"Febrero",8,"Domingo",18,4,3,5,509,2,99,"Hombre",22,1,3,3,5,1,4,2,"Azul",9999,6,1,"Escuintla"
"66",421,422,2015,"Febrero",9,"Lunes",13,3,2,1,101,1,18,"Hombre",17,2,2,2,4,1,4,24,"Negro",9999,6,1,"Guatemala"
"67",428,429,2015,"Febrero",9,"Lunes",14,3,2,4,401,2,99,"Hombre",21,1,3,3,5,1,4,99,"Negro",2011,5,1,"Chimaltenango"
"68",433,434,2015,"Febrero",10,"Martes",18,4,3,10,1014,2,99,"Hombre",20,1,3,3,5,1,4,2,"Negro",2011,5,1,"Suchitepéquez"
"69",435,436,2015,"Febrero",10,"Martes",15,3,2,18,1804,2,99,"Mujer",12,2,1,1,3,1,4,99,"Rojo",9999,6,1,"Izabal"
"70",436,437,2015,"Febrero",10,"Martes",19,4,3,18,1801,2,99,"Mujer",25,1,4,4,6,1,4,21,"Negro",9999,6,1,"Izabal"
"71",448,449,2015,"Febrero",12,"Jueves",10,2,1,17,1706,2,99,"Hombre",18,1,2,2,4,1,4,14,"Blanco",2013,5,1,"Petén"
"72",449,450,2015,"Febrero",12,"Jueves",19,4,3,1,101,1,1,"Hombre",32,1,5,5,7,1,4,2,"Negro",2008,4,1,"Guatemala"
"73",468,469,2015,"Febrero",14,"Sabado",3,1,1,3,301,2,99,"Hombre",32,1,5,5,7,1,4,28,"Negro",1993,3,3,"Sacatepéquez"
"74",486,487,2015,"Febrero",15,"Domingo",23,4,3,4,401,1,2,"Hombre",23,1,3,3,5,1,4,36,"Azul",2014,5,1,"Chimaltenango"
"75",495,496,2015,"Febrero",16,"Lunes",21,4,3,6,603,2,99,"Mujer",18,1,2,2,4,1,4,40,"Azul",1999,3,2,"Santa Rosa"
