"","X","nÃºm_corre","aÃ.o_ocu","mes_ocu","dÃ.a_ocu","dÃ.a_sem_ocu","hora_ocu","g_hora","g_hora_5","depto_ocu","mupio_ocu","Ã.rea_geo_ocu","zona_ocu","sexo_per","edad_per","mayor_menor","g_edad_80ymÃ.s","g_edad_60ymÃ.s","edad_quinquenales","estado_con","tipo_veh","marca_veh","color_veh","modelo_veh","g_modelo_veh","tipo_eve","deptoName"
"406",3363,3364,2015,"Octubre",26,"Lunes",20,4,3,13,1301,1,3,"Hombre",31,1,5,5,7,9,4,21,"Blanco",2006,4,1,"Huehuetenango"
"407",3365,3366,2015,"Octubre",26,"Lunes",18,4,3,16,1601,1,6,"Hombre",20,1,3,3,5,1,4,21,"Negro",9999,6,1,"Alta Verapaz"
"408",3378,3379,2015,"Octubre",27,"Martes",9,2,1,17,1705,2,99,"Mujer",24,1,3,3,5,1,4,99,"Negro",9999,6,2,"Petén"
"409",3385,3386,2015,"Octubre",28,"Miercoles",21,4,3,1,108,1,6,"Hombre",22,1,3,3,5,9,4,41,"Azul",2012,5,1,"Guatemala"
"410",3387,3388,2015,"Octubre",28,"Miercoles",16,3,2,6,602,2,99,"Hombre",26,1,4,4,6,9,4,2,"Rojo",2015,5,1,"Santa Rosa"
"411",3394,3395,2015,"Octubre",28,"Miercoles",17,3,2,14,1421,2,99,"Hombre",14,2,1,1,3,9,4,21,"Blanco",9999,6,1,"Quiché"
"412",3406,3407,2015,"Octubre",29,"Jueves",13,3,2,10,1020,2,99,"Hombre",26,1,4,4,6,1,4,21,"Rojo",9999,6,1,"Suchitepéquez"
"413",3412,3413,2015,"Octubre",30,"Viernes",0,1,1,1,101,1,7,"Hombre",34,1,5,5,7,9,4,2,"Rojo",2014,5,2,"Guatemala"
"414",3414,3415,2015,"Octubre",30,"Viernes",13,3,2,6,611,2,99,"Hombre",32,1,5,5,7,9,4,42,"Amarillo",2008,4,1,"Santa Rosa"
"415",3415,3416,2015,"Octubre",30,"Viernes",19,4,3,6,601,2,99,"Hombre",23,1,3,3,5,9,4,14,"Rojo",2015,5,1,"Santa Rosa"
"416",3416,3417,2015,"Octubre",30,"Viernes",17,3,2,6,601,2,99,"Hombre",28,1,4,4,6,9,4,2,"Negro",9999,6,1,"Santa Rosa"
"417",3423,3424,2015,"Octubre",31,"Sabado",4,1,1,1,101,1,1,"Hombre",29,1,4,4,6,1,4,42,"Rojo",2002,4,1,"Guatemala"
"418",3424,3425,2015,"Octubre",31,"Sabado",5,1,1,1,101,1,4,"Hombre",40,1,7,7,9,1,4,16,"Rojo",9999,6,1,"Guatemala"
"419",3431,3432,2015,"Octubre",31,"Sabado",18,4,3,5,504,2,99,"Hombre",42,1,7,7,9,1,4,49,"Negro",9999,6,1,"Escuintla"
"420",3433,3434,2015,"Octubre",31,"Sabado",13,3,2,5,501,2,99,"Mujer",26,1,4,4,6,1,4,41,"Negro",9999,6,1,"Escuintla"
"421",3445,3446,2015,"Octubre",31,"Sabado",20,4,3,17,1703,2,99,"Hombre",27,1,4,4,6,9,4,24,"Negro",9999,6,1,"Petén"
"422",3449,3450,2015,"Octubre",31,"Sabado",18,4,3,3,308,2,99,"Hombre",30,1,5,5,7,9,4,21,"Rojo",2007,4,1,"Sacatepéquez"
"423",3456,3457,2015,"Noviembre",1,"Domingo",15,3,2,1,101,1,7,"Hombre",30,1,5,5,7,9,4,2,"Gris",2015,5,2,"Guatemala"
"424",3472,3473,2015,"Noviembre",1,"Domingo",20,4,3,4,401,2,99,"Hombre",28,1,4,4,6,1,4,14,"Blanco",2006,4,1,"Chimaltenango"
"425",3486,3487,2015,"Noviembre",2,"Lunes",8,2,1,4,410,2,99,"Hombre",41,1,7,7,9,9,4,2,"Negro",2011,5,1,"Chimaltenango"
"426",3489,3490,2015,"Noviembre",3,"Martes",17,3,2,1,108,1,6,"Hombre",20,1,3,3,5,9,4,24,"Negro",9999,6,2,"Guatemala"
"427",3506,3507,2015,"Noviembre",5,"Jueves",16,3,2,1,115,1,12,"Hombre",28,1,4,4,6,9,4,99,"Rojo",2009,4,1,"Guatemala"
"428",3507,3508,2015,"Noviembre",5,"Jueves",0,1,1,1,110,2,99,"Hombre",36,1,6,6,8,1,4,61,"Negro",2013,5,1,"Guatemala"
"429",3515,3516,2015,"Noviembre",6,"Viernes",2,1,1,1,101,2,10,"Hombre",20,1,3,3,5,2,4,42,"Azul",2008,4,1,"Guatemala"
"430",3530,3531,2015,"Noviembre",7,"Sabado",11,2,1,1,101,1,10,"Hombre",32,1,5,5,7,1,4,99,"Blanco",2015,5,1,"Guatemala"
"431",3531,3532,2015,"Noviembre",7,"Sabado",1,1,1,1,101,1,12,"Hombre",26,1,4,4,6,1,4,24,"Negro",2013,5,1,"Guatemala"
"432",3555,3556,2015,"Noviembre",8,"Domingo",0,1,1,18,1801,2,99,"Hombre",21,1,3,3,5,1,4,42,"Gris",9999,6,1,"Izabal"
"433",3576,3577,2015,"Noviembre",10,"Martes",12,3,2,2,204,2,99,"Hombre",28,1,4,4,6,9,4,42,"Rojo",9999,6,1,"El Progreso"
"434",3584,3585,2015,"Noviembre",11,"Miercoles",7,2,1,1,102,1,99,"Hombre",22,1,3,3,5,9,4,49,"Negro",9999,6,3,"Guatemala"
"435",3588,3589,2015,"Noviembre",11,"Miercoles",8,2,1,5,501,2,99,"Hombre",22,1,3,3,5,9,4,14,"Negro",9999,6,1,"Escuintla"
"436",3592,3593,2015,"Noviembre",11,"Miercoles",16,3,2,15,1502,1,99,"Hombre",27,1,4,4,6,9,4,44,"Negro",2010,5,1,"Baja Verapaz"
"437",3601,3602,2015,"Noviembre",13,"Viernes",19,4,3,1,101,1,1,"Hombre",34,1,5,5,7,1,4,21,"Rojo",2015,5,1,"Guatemala"
"438",3606,3607,2015,"Noviembre",13,"Viernes",14,3,2,1,115,1,4,"Hombre",22,1,3,3,5,9,4,2,"Negro",9999,6,1,"Guatemala"
"439",3608,3609,2015,"Noviembre",13,"Viernes",8,2,1,19,1906,2,99,"Hombre",18,1,2,2,4,9,4,42,"Negro",9999,6,1,"Zacapa"
"440",3609,3610,2015,"Noviembre",13,"Viernes",21,4,3,19,1905,2,99,"Hombre",16,2,2,2,4,9,4,42,"Rojo",9999,6,3,"Zacapa"
"441",3616,3617,2015,"Noviembre",13,"Viernes",14,3,2,2,201,2,99,"Hombre",20,1,3,3,5,1,4,2,"Azul",9999,6,1,"El Progreso"
"442",3620,3621,2015,"Noviembre",13,"Viernes",23,4,3,4,416,2,99,"Hombre",27,1,4,4,6,2,4,21,"Rojo",9999,6,3,"Chimaltenango"
"443",3621,3622,2015,"Noviembre",13,"Viernes",10,2,1,3,312,2,99,"Hombre",28,1,4,4,6,9,4,2,"Negro",2016,5,1,"Sacatepéquez"
"444",3623,3624,2015,"Noviembre",14,"Sabado",1,1,1,1,107,2,99,"Hombre",29,1,4,4,6,1,4,21,"Rojo",9999,6,3,"Guatemala"
"445",3629,3630,2015,"Noviembre",14,"Sabado",22,4,3,1,115,1,3,"Hombre",26,1,4,4,6,9,4,20,"Rojo",9999,6,3,"Guatemala"
"446",3659,3660,2015,"Noviembre",15,"Domingo",14,3,2,2,203,2,99,"Hombre",58,1,10,10,12,1,4,4,"Rojo",2014,5,1,"El Progreso"
"447",3666,3667,2015,"Noviembre",16,"Lunes",8,2,1,1,101,2,12,"Hombre",49,1,8,8,10,1,4,24,"Negro",2011,5,1,"Guatemala"
"448",3688,3689,2015,"Noviembre",18,"Miercoles",2,1,1,1,108,1,6,"Hombre",21,1,3,3,5,1,4,2,"Negro",9999,6,1,"Guatemala"
"449",3702,3703,2015,"Noviembre",19,"Jueves",12,3,2,9,920,2,99,"Hombre",23,1,3,3,5,1,4,21,"Azul",9999,6,3,"Quetzaltenango"
"450",3708,3709,2015,"Noviembre",20,"Viernes",21,4,3,1,101,1,17,"Hombre",34,1,5,5,7,2,4,24,"Negro",9999,6,4,"Guatemala"
"451",3725,3726,2015,"Noviembre",21,"Sabado",21,4,3,1,108,1,4,"Hombre",36,1,6,6,8,9,4,42,"Gris",9999,6,2,"Guatemala"
"452",3751,3752,2015,"Noviembre",22,"Domingo",11,2,1,3,308,2,99,"Hombre",28,1,4,4,6,9,4,42,"Gris",2015,5,1,"Sacatepéquez"
"453",3754,3755,2015,"Noviembre",23,"Lunes",1,1,1,14,1406,1,99,"Hombre",25,1,4,4,6,2,4,42,"Rojo",9999,6,3,"Quiché"
"454",3758,3759,2015,"Noviembre",24,"Martes",19,4,3,1,101,1,6,"Mujer",28,1,4,4,6,1,4,14,"Blanco",2014,5,1,"Guatemala"
"455",3764,3765,2015,"Noviembre",24,"Martes",18,4,3,5,512,2,99,"Hombre",35,1,6,6,8,9,4,41,"Rojo",2015,5,1,"Escuintla"
"456",3766,3767,2015,"Noviembre",24,"Martes",12,3,2,8,801,2,99,"Hombre",23,1,3,3,5,9,4,24,"Negro",9999,6,1,"Totonicapán"
"457",3770,3771,2015,"Noviembre",25,"Miercoles",18,4,3,1,101,1,18,"Hombre",16,2,2,2,4,9,4,2,"Negro",9999,6,3,"Guatemala"
"458",3775,3776,2015,"Noviembre",25,"Miercoles",21,4,3,10,1001,2,99,"Hombre",21,1,3,3,5,1,4,42,"Negro",9999,6,1,"Suchitepéquez"
"459",3778,3779,2015,"Noviembre",25,"Miercoles",19,4,3,15,1502,2,99,"Hombre",23,1,3,3,5,1,4,37,"Azul",9999,6,2,"Baja Verapaz"
"460",3782,3783,2015,"Noviembre",26,"Jueves",18,4,3,1,101,1,11,"Hombre",45,1,8,8,10,9,4,42,"Negro",9999,6,1,"Guatemala"
"461",3794,3795,2015,"Noviembre",27,"Viernes",1,1,1,1,101,1,18,"Hombre",24,1,3,3,5,9,4,2,"Negro",9999,6,2,"Guatemala"
"462",3796,3797,2015,"Noviembre",27,"Viernes",18,4,3,1,101,1,10,"Hombre",56,1,10,10,12,1,4,2,"Negro",2013,5,1,"Guatemala"
"463",3798,3799,2015,"Noviembre",27,"Viernes",0,1,1,19,1901,1,99,"Hombre",18,1,2,2,4,2,4,24,"Negro",9999,6,2,"Zacapa"
"464",3806,3807,2015,"Noviembre",27,"Viernes",22,4,3,3,301,1,99,"Hombre",22,1,3,3,5,1,4,41,"Blanco",2015,5,1,"Sacatepéquez"
"465",3812,3813,2015,"Noviembre",28,"Sabado",18,4,3,1,101,1,11,"Hombre",26,1,4,4,6,9,4,2,"Azul",9999,6,1,"Guatemala"
"466",3818,3819,2015,"Noviembre",28,"Sabado",13,3,2,9,901,1,1,"Hombre",27,1,4,4,6,9,4,42,"Azul",2006,4,1,"Quetzaltenango"
"467",3825,3826,2015,"Noviembre",29,"Domingo",18,4,3,1,101,1,14,"Hombre",24,1,3,3,5,1,4,2,"Negro",2013,5,1,"Guatemala"
"468",3836,3837,2015,"Noviembre",29,"Domingo",21,4,3,2,203,2,99,"Hombre",17,2,2,2,4,1,4,42,"Rojo",2012,5,1,"El Progreso"
"469",3851,3852,2015,"Diciembre",1,"Martes",18,4,3,5,501,2,99,"Hombre",27,1,4,4,6,1,4,40,"Azul",9999,6,1,"Escuintla"
"470",3856,3857,2015,"Diciembre",1,"Martes",21,4,3,14,1401,2,99,"Hombre",17,2,2,2,4,1,4,21,"Rojo",2013,5,1,"Quiché"
"471",3862,3863,2015,"Diciembre",2,"Miercoles",22,4,3,1,108,1,11,"Hombre",32,1,5,5,7,1,4,24,"Negro",2014,5,1,"Guatemala"
"472",3866,3867,2015,"Diciembre",3,"Jueves",19,4,3,1,101,1,9,"Hombre",21,1,3,3,5,9,4,2,"Azul",9999,6,3,"Guatemala"
"473",3873,3874,2015,"Diciembre",3,"Jueves",15,3,2,10,1002,2,99,"Hombre",57,1,10,10,12,9,4,2,"Negro",9999,6,3,"Suchitepéquez"
"474",3876,3877,2015,"Diciembre",3,"Jueves",4,1,1,4,401,2,99,"Hombre",23,1,3,3,5,9,4,2,"Azul",9999,6,2,"Chimaltenango"
"475",3882,3883,2015,"Diciembre",4,"Viernes",22,4,3,11,1101,2,99,"Hombre",27,1,4,4,6,1,4,99,"Amarillo",2008,4,1,"Retalhuleu"
"476",3898,3899,2015,"Diciembre",5,"Sabado",8,2,1,1,101,1,12,"Hombre",25,1,4,4,6,1,4,40,"Negro",9999,6,1,"Guatemala"
"477",3904,3905,2015,"Diciembre",5,"Sabado",15,3,2,21,2101,1,99,"Hombre",55,1,10,10,12,2,4,21,"Beige",9999,6,1,"Jalapa"
"478",3906,3907,2015,"Diciembre",5,"Sabado",8,2,1,19,1903,2,99,"Hombre",17,2,2,2,4,9,4,31,"Negro",2008,4,1,"Zacapa"
"479",3913,3914,2015,"Diciembre",5,"Sabado",11,2,1,16,1609,2,99,"Hombre",25,1,4,4,6,9,4,21,"Negro",9999,6,1,"Alta Verapaz"
"480",3916,3917,2015,"Diciembre",6,"Domingo",0,1,1,1,101,1,1,"Hombre",28,1,4,4,6,2,4,61,"Rojo",9999,6,1,"Guatemala"
"481",3918,3919,2015,"Diciembre",6,"Domingo",18,4,3,1,101,1,11,"Hombre",28,1,4,4,6,9,4,2,"Azul",9999,6,1,"Guatemala"
"482",3921,3922,2015,"Diciembre",6,"Domingo",15,3,2,1,114,2,99,"Hombre",28,1,4,4,6,9,4,99,"Negro",9999,6,3,"Guatemala"
"483",3928,3929,2015,"Diciembre",6,"Domingo",6,2,1,10,1020,2,99,"Hombre",25,1,4,4,6,9,4,2,"Azul",9999,6,2,"Suchitepéquez"
"484",3934,3935,2015,"Diciembre",6,"Domingo",13,3,2,4,416,2,99,"Hombre",28,1,4,4,6,9,4,14,"Negro",9999,6,1,"Chimaltenango"
"485",3940,3941,2015,"Diciembre",7,"Lunes",19,4,3,5,513,1,99,"Mujer",18,1,2,2,4,1,4,41,"Negro",9999,6,1,"Escuintla"
"486",3941,3942,2015,"Diciembre",7,"Lunes",19,4,3,10,1001,1,2,"Hombre",24,1,3,3,5,9,4,2,"Negro",2015,5,1,"Suchitepéquez"
"487",3949,3950,2015,"Diciembre",8,"Martes",19,4,3,1,115,1,12,"Hombre",30,1,5,5,7,9,4,2,"Negro",2012,5,3,"Guatemala"
"488",3952,3953,2015,"Diciembre",8,"Martes",18,4,3,10,1001,2,99,"Hombre",21,1,3,3,5,1,4,2,"Rojo",2013,5,1,"Suchitepéquez"
"489",3966,3967,2015,"Diciembre",10,"Jueves",10,2,1,16,1601,2,99,"Hombre",19,1,2,2,4,1,4,24,"Negro",9999,6,1,"Alta Verapaz"
"490",3970,3971,2015,"Diciembre",11,"Viernes",6,2,1,5,506,2,99,"Hombre",37,1,6,6,8,9,4,42,"Rojo",9999,6,1,"Escuintla"
"491",3975,3976,2015,"Diciembre",11,"Viernes",9,2,1,18,1805,2,99,"Hombre",27,1,4,4,6,9,4,21,"Rojo",9999,6,1,"Izabal"
"492",3976,3977,2015,"Diciembre",11,"Viernes",15,3,2,18,1805,2,99,"Hombre",61,1,11,11,13,1,4,42,"Rojo",2013,5,1,"Izabal"
"493",3992,3993,2015,"Diciembre",12,"Sabado",1,1,1,18,1801,2,99,"Hombre",25,1,4,4,6,9,4,24,"Rojo",9999,6,3,"Izabal"
"494",3993,3994,2015,"Diciembre",12,"Sabado",1,1,1,17,1712,2,99,"Hombre",19,1,2,2,4,9,4,42,"Rojo",9999,6,1,"Petén"
"495",3997,3998,2015,"Diciembre",13,"Domingo",9,2,1,3,301,1,99,"Hombre",19,1,2,2,4,1,4,21,"Rojo",9999,6,1,"Sacatepéquez"
"496",4015,4016,2015,"Diciembre",14,"Lunes",2,1,1,1,108,1,6,"Hombre",25,1,4,4,6,1,4,24,"Gris",9999,6,3,"Guatemala"
"497",4019,4020,2015,"Diciembre",14,"Lunes",17,3,2,16,1601,1,2,"Hombre",46,1,8,8,10,2,4,42,"Rojo",9999,6,2,"Alta Verapaz"
"498",4021,4022,2015,"Diciembre",14,"Lunes",3,1,1,17,1704,1,99,"Hombre",24,1,3,3,5,2,4,42,"Rojo",9999,6,2,"Petén"
"499",4030,4031,2015,"Diciembre",15,"Martes",22,4,3,9,922,2,99,"Hombre",24,1,3,3,5,2,4,31,"Negro",9999,6,3,"Quetzaltenango"
"500",4037,4038,2015,"Diciembre",15,"Martes",19,4,3,4,409,2,99,"Hombre",40,1,7,7,9,9,4,42,"Negro",9999,6,1,"Chimaltenango"
"501",4039,4040,2015,"Diciembre",16,"Miercoles",22,4,3,1,101,1,5,"Hombre",70,1,13,11,15,9,4,42,"Negro",9999,6,1,"Guatemala"
"502",4050,4051,2015,"Diciembre",17,"Jueves",10,2,1,1,101,1,10,"Hombre",34,1,5,5,7,9,4,42,"Amarillo",2013,5,1,"Guatemala"
"503",4052,4053,2015,"Diciembre",17,"Jueves",19,4,3,1,101,1,7,"Hombre",50,1,9,9,11,9,4,21,"Gris",2007,4,1,"Guatemala"
"504",4059,4060,2015,"Diciembre",17,"Jueves",21,4,3,5,511,2,99,"Hombre",16,2,2,2,4,9,4,21,"Rojo",2015,5,1,"Escuintla"
"505",4070,4071,2015,"Diciembre",18,"Viernes",23,4,3,1,101,1,4,"Hombre",30,1,5,5,7,2,4,24,"Rojo",9999,6,1,"Guatemala"
"506",4072,4073,2015,"Diciembre",18,"Viernes",19,4,3,1,101,1,1,"Hombre",26,1,4,4,6,1,4,99,"Negro",2015,5,1,"Guatemala"
"507",4074,4075,2015,"Diciembre",18,"Viernes",5,1,1,1,101,1,11,"Hombre",32,1,5,5,7,9,4,2,"Azul",9999,6,1,"Guatemala"
"508",4078,4079,2015,"Diciembre",18,"Viernes",0,1,1,12,1217,2,99,"Hombre",21,1,3,3,5,1,4,42,"Rojo",9999,6,1,"San Marcos"
"509",4117,4118,2015,"Diciembre",20,"Domingo",1,1,1,12,1217,2,99,"Hombre",42,1,7,7,9,2,4,2,"Blanco",9999,6,2,"San Marcos"
"510",4120,4121,2015,"Diciembre",20,"Domingo",22,4,3,12,1219,2,99,"Hombre",24,1,3,3,5,2,4,14,"Negro",9999,6,3,"San Marcos"
"511",4167,4168,2015,"Diciembre",24,"Jueves",3,1,1,5,511,2,99,"Hombre",24,1,3,3,5,2,4,2,"Azul",2012,5,3,"Escuintla"
"512",4175,4176,2015,"Diciembre",24,"Jueves",16,3,2,18,1801,2,99,"Hombre",23,1,3,3,5,2,4,2,"Negro",2008,4,1,"Izabal"
"513",4180,4181,2015,"Diciembre",24,"Jueves",22,4,3,1,108,1,19,"Hombre",20,1,3,3,5,9,4,14,"Azul",2006,4,1,"Guatemala"
"514",4197,4198,2015,"Diciembre",25,"Viernes",22,4,3,1,116,2,99,"Hombre",27,1,4,4,6,9,4,24,"Rojo",9999,6,1,"Guatemala"
"515",4198,4199,2015,"Diciembre",25,"Viernes",20,4,3,3,303,2,99,"Hombre",47,1,8,8,10,9,4,40,"Negro",9999,6,1,"Sacatepéquez"
"516",4203,4204,2015,"Diciembre",26,"Sabado",20,4,3,3,314,2,99,"Hombre",21,1,3,3,5,9,4,24,"Negro",9999,6,3,"Sacatepéquez"
"517",4205,4206,2015,"Diciembre",26,"Sabado",16,3,2,22,2207,2,99,"Hombre",60,1,11,11,13,9,4,99,"Rojo",9999,6,2,"Jutiapa"
"518",4231,4232,2015,"Diciembre",28,"Lunes",5,1,1,5,502,2,99,"Hombre",40,1,7,7,9,9,4,49,"Azul",1990,3,3,"Escuintla"
"519",4241,4242,2015,"Diciembre",29,"Martes",5,1,1,1,101,1,7,"Hombre",29,1,4,4,6,1,4,20,"Rojo",9999,6,1,"Guatemala"
"520",4244,4245,2015,"Diciembre",29,"Martes",23,4,3,19,1905,1,99,"Hombre",32,1,5,5,7,1,4,42,"Rojo",9999,6,1,"Zacapa"
"521",4258,4259,2015,"Diciembre",30,"Miercoles",15,3,2,10,1012,2,99,"Hombre",16,2,2,2,4,1,4,2,"Rojo",2013,5,1,"Suchitepéquez"
"522",4275,4276,2015,"Diciembre",31,"Jueves",17,3,2,5,502,2,99,"Mujer",32,1,5,5,7,1,4,41,"Rojo",9999,6,1,"Escuintla"
"523",4281,4282,2015,"Diciembre",31,"Jueves",7,2,1,18,1804,2,99,"Hombre",39,1,6,6,8,9,4,5,"Gris",9999,6,2,"Izabal"
"524",4282,4283,2015,"Diciembre",31,"Jueves",23,4,3,18,1802,2,99,"Hombre",21,1,3,3,5,2,4,42,"Rojo",9999,6,2,"Izabal"
"525",4288,4289,2015,"Enero",1,"Jueves",12,3,2,1,108,1,6,"Hombre",24,1,3,3,5,1,4,14,"Rojo",2013,5,5,"Guatemala"
"526",4289,4290,2015,"Enero",1,"Jueves",23,4,3,1,110,2,99,"Hombre",28,1,4,4,6,1,4,2,"Blanco",9999,6,5,"Guatemala"
"527",4328,4329,2015,"Enero",7,"Miercoles",8,2,1,1,115,1,5,"Hombre",27,1,4,4,6,9,4,37,"Azul",2004,4,5,"Guatemala"
"528",4344,4345,2015,"Enero",9,"Viernes",16,3,2,5,501,2,99,"Hombre",43,1,7,7,9,1,4,49,"Rojo",9999,6,5,"Escuintla"
"529",4350,4351,2015,"Enero",10,"Sabado",14,3,2,1,108,1,6,"Hombre",20,1,3,3,5,9,4,21,"Negro",2012,5,5,"Guatemala"
"530",4358,4359,2015,"Enero",11,"Domingo",4,1,1,20,2001,1,1,"Hombre",22,1,3,3,5,9,4,2,"Azul",2013,5,5,"Chiquimula"
"531",4367,4368,2015,"Enero",14,"Miercoles",22,4,3,5,506,2,99,"Hombre",44,1,7,7,9,9,4,2,"Rojo",9999,6,5,"Escuintla"
"532",4389,4390,2015,"Enero",18,"Domingo",16,3,2,1,101,1,18,"Hombre",19,1,2,2,4,9,4,21,"Rojo",9999,6,5,"Guatemala"
"533",4398,4399,2015,"Enero",19,"Lunes",23,4,3,1,101,1,18,"Hombre",32,1,5,5,7,9,4,42,"Rojo",9999,6,5,"Guatemala"
"534",4399,4400,2015,"Enero",19,"Lunes",19,4,3,1,115,1,5,"Hombre",18,1,2,2,4,9,4,2,"Negro",9999,6,5,"Guatemala"
"535",4411,4412,2015,"Enero",22,"Jueves",17,3,2,20,2001,2,99,"Hombre",42,1,7,7,9,9,4,24,"Amarillo",9999,6,5,"Chiquimula"
"536",4451,4452,2015,"Enero",29,"Jueves",8,2,1,1,101,1,6,"Hombre",24,1,3,3,5,9,4,61,"Negro",2013,5,5,"Guatemala"
"537",4456,4457,2015,"Enero",29,"Jueves",18,4,3,5,501,2,99,"Hombre",25,1,4,4,6,9,4,2,"Azul",9999,6,5,"Escuintla"
"538",4496,4497,2015,"Febrero",5,"Jueves",15,3,2,1,107,2,99,"Hombre",40,1,7,7,9,2,4,2,"Negro",2014,5,5,"Guatemala"
"539",4511,4512,2015,"Febrero",7,"Sabado",22,4,3,1,101,1,5,"Hombre",21,1,3,3,5,9,4,21,"Negro",2013,5,5,"Guatemala"
"540",4515,4516,2015,"Febrero",7,"Sabado",20,4,3,22,2214,2,99,"Hombre",21,1,3,3,5,9,4,42,"Azul",2013,5,5,"Jutiapa"
"541",4528,4529,2015,"Febrero",8,"Domingo",21,4,3,4,407,2,99,"Hombre",24,1,3,3,5,1,4,2,"Rojo",2013,5,5,"Chimaltenango"
"542",4593,4594,2015,"Febrero",16,"Lunes",5,1,1,3,302,2,99,"Hombre",22,1,3,3,5,9,4,99,"Negro",2012,5,5,"Sacatepéquez"
"543",4609,4610,2015,"Febrero",18,"Miercoles",19,4,3,1,108,1,5,"Hombre",50,1,9,9,11,1,4,20,"Azul",2012,5,5,"Guatemala"
"544",4611,4612,2015,"Febrero",18,"Miercoles",8,2,1,5,501,2,99,"Hombre",37,1,6,6,8,9,4,99,"Anaranjado",9999,6,5,"Escuintla"
"545",4619,4620,2015,"Febrero",19,"Jueves",17,3,2,22,2211,2,99,"Mujer",15,2,2,2,4,1,4,2,"Negro",2013,5,5,"Jutiapa"
"546",4650,4651,2015,"Febrero",22,"Domingo",19,4,3,11,1102,2,99,"Hombre",22,1,3,3,5,9,4,45,"Negro",2012,5,5,"Retalhuleu"
"547",4655,4656,2015,"Febrero",22,"Domingo",0,1,1,3,301,2,99,"Hombre",40,1,7,7,9,9,4,42,"Gris",2006,4,5,"Sacatepéquez"
"548",4659,4660,2015,"Febrero",23,"Lunes",18,4,3,8,802,2,99,"Hombre",20,1,3,3,5,9,4,21,"Negro",2012,5,5,"Totonicapán"
"549",4667,4668,2015,"Febrero",25,"Miercoles",12,3,2,1,101,1,11,"Hombre",23,1,3,3,5,1,4,2,"Negro",2012,5,5,"Guatemala"
"550",4670,4671,2015,"Febrero",25,"Miercoles",20,4,3,17,1706,2,99,"Hombre",15,2,2,2,4,1,4,14,"Negro",2010,5,5,"Petén"
"551",4677,4678,2015,"Febrero",26,"Jueves",16,3,2,14,1401,1,1,"Hombre",37,1,6,6,8,2,4,21,"Negro",2013,5,5,"Quiché"
"552",4678,4679,2015,"Febrero",26,"Jueves",15,3,2,3,302,2,99,"Hombre",40,1,7,7,9,1,4,24,"Azul",2012,5,5,"Sacatepéquez"
"553",4696,4697,2015,"Febrero",28,"Sabado",19,4,3,5,501,2,99,"Hombre",20,1,3,3,5,1,4,24,"Rojo",9999,6,5,"Escuintla"
"554",4705,4706,2015,"Marzo",1,"Domingo",17,3,2,1,101,1,7,"Hombre",27,1,4,4,6,2,4,2,"Rojo",9999,6,5,"Guatemala"
"555",4712,4713,2015,"Marzo",1,"Domingo",19,4,3,4,401,2,99,"Hombre",26,1,4,4,6,1,4,42,"Gris",2007,4,5,"Chimaltenango"
"556",4718,4719,2015,"Marzo",3,"Martes",21,4,3,1,108,1,11,"Hombre",28,1,4,4,6,2,4,2,"Azul",2012,5,5,"Guatemala"
"557",4735,4736,2015,"Marzo",7,"Sabado",19,4,3,12,1201,2,99,"Hombre",23,1,3,3,5,1,4,21,"Rojo",2010,5,5,"San Marcos"
"558",4736,4737,2015,"Marzo",7,"Sabado",12,3,2,7,705,2,99,"Hombre",22,1,3,3,5,1,4,40,"Azul",2012,5,5,"Sololá"
"559",4754,4755,2015,"Marzo",9,"Lunes",10,2,1,1,101,1,21,"Hombre",18,1,2,2,4,2,4,2,"Rojo",2012,5,5,"Guatemala"
"560",4791,4792,2015,"Marzo",15,"Domingo",16,3,2,13,1324,2,99,"Hombre",19,1,2,2,4,1,4,21,"Rojo",2014,5,5,"Huehuetenango"
"561",4810,4811,2015,"Marzo",17,"Martes",22,4,3,17,1707,2,99,"Hombre",22,1,3,3,5,2,4,2,"Negro",2013,5,5,"Petén"
"562",4839,4840,2015,"Marzo",21,"Sabado",1,1,1,1,101,1,15,"Hombre",32,1,5,5,7,1,4,24,"Rojo",2014,5,5,"Guatemala"
"563",4851,4852,2015,"Marzo",23,"Lunes",16,3,2,1,101,1,12,"Hombre",42,1,7,7,9,1,4,40,"Rojo",9999,6,5,"Guatemala"
"564",4863,4864,2015,"Marzo",25,"Miercoles",9,2,1,9,917,2,99,"Hombre",23,1,3,3,5,1,4,2,"Negro",9999,6,5,"Quetzaltenango"
"565",4871,4872,2015,"Marzo",27,"Viernes",17,3,2,1,101,1,7,"Hombre",18,1,2,2,4,1,4,99,"Azul",9999,6,5,"Guatemala"
"566",4875,4876,2015,"Marzo",27,"Viernes",16,3,2,18,1803,2,99,"Hombre",23,1,3,3,5,2,4,2,"Rojo",9999,6,5,"Izabal"
"567",4883,4884,2015,"Marzo",28,"Sabado",20,4,3,15,1503,2,99,"Hombre",20,1,3,3,5,2,4,2,"Negro",2012,5,5,"Baja Verapaz"
"568",4902,4903,2015,"Marzo",31,"Martes",21,4,3,19,1901,2,99,"Hombre",20,1,3,3,5,9,4,31,"Rojo",9999,6,5,"Zacapa"
"569",4915,4916,2015,"Abril",2,"Jueves",14,3,2,5,506,2,99,"Hombre",34,1,5,5,7,9,4,24,"Rojo",9999,6,5,"Escuintla"
